,titles,offers,locations,titles_clean
221,Voditelj/ica poslovnog odnosa sa pravnim licima,"Za potrebe Filijale Mostar raspisuje se konkurs za prijem dva člana/članice tima u radni odnos za radno mjesto:
Voditelj/ica poslovnog odnosa sa pravnim licima

Ako svoje buduće radno okruženje zamišljaš kao mjesto...
Uspješne akvizicije novih klijenata
Analize potreba klijenata i brige o klijentima u svom portfoliju
Redovnog monitoringa klijenata i razvoja njihove poslovne aktivnosti
Dinamične energije, fokusa i profesionalizma u timu koji će ti pružiti podršku i učiniti da se osjetiš dobrodošlim i cijenjenim
Izuzetnog timskog rada u kojem možeš razvijati svoje vještine i potencijal kroz kontinuirano učenje
Internacionalnih obuka
Ako posjeduješ sljedeće kvalifikacije...
Završen ekonomski ili drugi srodan fakultet
Najmanje 1 godina radnog iskustva na istim ili sličnim poslovima
Aktivno poznavanje engleskog jezika u govoru i pismu (minimalno B1 nivo)
Napredno poznaješ rad u MS Office-u
Izražene komunikacijske, analitičke i prezentacijske sposobnosti
Organizacijske sposobnosti, preciznost, pouzdanost, odgovornost, spremnost na timski rad
I ako ovo zvuči kao ti...
Otvorena si osoba koja voli komunikaciju sa klijentima?
Svoju karijeru želiš obogatiti jedinstvenim iskustvom i ličnim napretkom?
Želiš raditi posao koji će ti omogućiti da upoznaš, analiziraš i finansijski savjetuješ privredne subjekte u BiH?
Fleksibilna si osoba koja voli kombinirati rad u uredu i na terenu?
... onda je naš ProCredit tim pravo mjesto za tebe!
ProCredit Bank je razvojno orijentisana komercijalna banka koja 27 godina uspješno posluje u BiH kao jedina banka s njemačkim kapitalom i dio je ProCredit Holdinga. Usmjereni smo ka pružanju profesionalnih usluga malim i srednjim preduzećima kao i stanovništvu, te nudimo podršku klijentima koji
imaju potrebu ili interes za usluge digitalnog bankarstva. U radu smo usmjereni na transparentnost, kulturu otvorene komunikacije, društvenu odgovornost i toleranciju, visok nivo profesionalnosti, personalni
integritet i posvećenost.
Svoj CV i motivaciono pismo nam pošalji putem opcije „Prijavite se na oglas“.
Više o nama možeš saznati na https://www.procreditbank.ba/.
Odjel za upravljanje ljudskim resursima će kontaktirati samo kandidate koji uđu u uži izbor, a ostalim kandidatima se zahvaljujemo na prijavi.","Mjesto rada: Mostar
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 23.07.2024. u 15:04
Oglas ističe: 05.08.2024. u 23:59",Voditelj/ica poslovnog odnosa sa pravnim licima
222,Diplomirani inžinjer elektrotehnike (m/ž),"Uslovi:
Završen elektrotehnički fakultet – smjer elektoenergetika (neobavezno), VSS
Prednosti imaju kandidati s položenim stručnim ispitom
Radno iskustvo - poželjno
Potvrda / Uvjerenje o radnom iskustvu
Poznavanje rada na računaru
Vozačka dozvola B kategorije – obavezno
Sposobnost za rad u timu, fleksibilnost u radu, spremnost na terenski rad odgovornost i pouzdanost u izvršavanju radnih zadataka
Sa svim kandidatima koji budu ispunjavali  navedene uslove  obavit će se usmeni razgovor –  intervju. 
Kandidati svoj CV mogu slati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 23.07.2024. u 12:01
Oglas ističe: 23.08.2024. u 23:59",Diplomirani inžinjer elektrotehnike
223,Vozač kombi vozila (m/ž),"Opis posla:
Dostava mješovite robe sa kombi vozilom
Uslovi:
Potrebna B kategorija
Poželjno iskustvo upravljanja kombi vozilom i dostave robe
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 23.07.2024. u 11:24
Oglas ističe: 17.08.2024. u 11:24",Vozač kombi vozila
224,Trgovac (m/ž),"Tražimo komunikativnu osobu sa iskustvom u prodaji i sklonost prema tehnologiji. Odgovorna će biti za prodaju, savjetovanje kupaca, organizaciju robe u poslovnici te praćenje zaliha i narudžbi.
Uslovi:
Iskustvo u prodaji (poželjno u prodaji tehnoloških uređaja)
Dobre komunikacijske i prodajne vještine
Spremnost na rad u timu i samostalnost
Poznavanje rada na računaru
Ukoliko imate relevantno iskustvo i željni ste da se pridružite našem stručnom timu, molimo vas da pošaljete vaš CV i motivaciono pismo putem opcije ""Prijava kod poslodavca"" ili nas kontaktirajte na broj telefona +387 62 111 114 ili 062 555 552.","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 23.07.2024. u 11:17
Oglas ističe: 23.08.2024. u 11:17",Trgovac
225,Trgovac u maloprodaji (m/ž),"Opis poslova:
Neposredan rad sa kupcima
Direktna prodaja, rad na kasi, izdavanje računa, pakovanje robe
Priprema robe za izlaganje kontrola rokova i deklaracija
Vrši izlaganje robe u police i slaganje u magacin
Održavanje higijene i urednosti poslovnice
Uslovi:
SSS  poželjno trgovac
Dobre prezentacijske i prodajne vještine
Minimalno 1 godina radnog iskustva u trgovini
Sposobnost riješavanja problema
Osobno poštenje ,integritet i radna etika
Poznavanje rada na računaru
Nudimo:
Rad u profesionalnom dinamičnom i prijatnom okruženju.
Redovna primanja 
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 23.07.2024. u 11:14
Oglas ističe: 23.08.2024. u 11:14",Trgovac u maloprodaji
226,Dostavljač autodijelova,"Motorex uvijek teži odličnim poslovnim rezultatima, mi ne prihvatamo prosjek! Zato lanac naših prodavnica konstantno širimo otvaranjem novih poslovnica i jačamo naš tim mladim, sposobnim i motiviranim ljudima!
Ako tražiš priliku u karijeri u kojoj ćeš biti važna karika jedne od najuspješnijih i brzorastućih firmi u regionu, ovo je jedinstvena prilika za Tebe!
Opis posla:
Dostava robe kupcima
Kvalitativna i kvantitativna kontrola robe pri preuzimanju i isporuci, te provjera popratne dokumentacije
Vođenje putnih naloga za vozilo
Šta Vas čini pravim kandidatom za nas:
Završili ste srednju školu (SSS)
Vozačka dozvola B kategorije i aktivno vozačko iskustvo od minimalno 1 godine
Dobra komunikacija i saradnja sa kolegama
Nije potrebno radno iskustvo
Šta nudimo:
Mogućnost rada u najvećem prodajnom lancu autodijelova u BiH i regionu sa iskustvom od 26 godine
Fleksibilno radno vrijeme
Fleksibilno korištenje slobodnih dana
Odlična i stimulativna primanja
Susretljiv i razumljiv nadležni tim
Mogućnost usavršavanja i napredovanja
Stalni radni odnos
Poslovanje u skladu sa najsavremenijim trendovima
Lokacije: Lukavac, Tuzla, Živinice, Jelah, Srebrenik, Prnjavor, Sarajevo, Bihać, Doboj, Zenica, Gračanica, Gradačac, Visoko, Kakanj, Velika Kladuša, Teslić, Brčko, Novi Grad, Sanski Most, Bugojno, Kiseljak, Goražde, Mostar, Bijeljina, Kozarska Dubica, Maglaj, Banja Luka, Gradiška i Trebinje.
Zainteresirani mogu aplicirati ISKLJUČIVO putem opcije ""Prijava kod poslodavca"".","Mjesto rada: Više lokacija
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 23.07.2024. u 10:59
Oglas ističe: 23.08.2024. u 23:59",Dostavljač autodijelova
227,Komercijalista / Unapređivač prodaje (m/ž),"Džajić-Commerce d.o.o., podružnica Sarajevo, tvrtka za uvoz i distribuciju proizvoda poznatih svjetskih brandova, zbog povećanog obima posla i proširenja asortimana kojeg distribuira, raspisuje natječaj za radno mjesto:

-Komercijalista / Unapređivač prodaje (m/ž)-
Opis poslova: 
Obilazak maloprodajnih mjesta prema dnevnom planu
Praćenje i rad na popunjenosti prodajnih kanala
Unapređenje pozicija izložene robe u cilju povećanja prodaje i poštovanja zadatih standarda izlaganja robe  
Praćenje aktivnosti konkurencije na tržištu
Uspostavljanje i održavanje planograma/ugovorenih pozicija
Davanje prijedloga za razvoj poslovanja s kupcima
Ažurno, pravoremeno i točno evidentiranje prisutnosti proizvoda i ostalihpotrebnih podataka u bazu podataka
Redovno izvještavanje o obavljenim i planiranim aktivnostima
Potrebne kvalifikacije:  
Minimalno SSS
Vozačka dozvola B kategorije
Komunikacijske, prodajne i pregovaračke vještine
Motivacija, sklonost timskom radu, organizacijske vještine
Radno iskustvo u prodaji

Sve zainteresirane kandidate koji su spremni prihvatiti izazov rada,  pozivamo da nam dostave svoje životopise s kratkim opisom radnog iskustva putem opcije ""Prijavite se na oglas"" ili putem broja telefona: 033 622 012.","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 22.07.2024. u 15:30
Oglas ističe: 21.08.2024. u 23:59",Komercijalista / Unapređivač prodaje
228,Stručno-komercijalni suradnik (m/ž),"Stručno-komercijalni suradnik (m/ž)
Colpharm d.o.o. raspisuje
NATJEČAJ 
za radno mjesto 
STRUČNO-KOMERCIJALNI SURADNIK (M/Ž) – 1 izvršitelj
Opis posla:
Promocija brendova i proizvoda iz asortimana Colpharma putem posjeta ljekarima/liječnicima i apotekama/ljekarnama na području za koje je suradnik zadužen, s naglaskom na Sarajevo
Uvjeti, znanja i vještine kandidata:
VSS - Završen fakultet zdravstvenog usmjerenja (poželjno farmaceutski, medicinski ili stomatološki fakultet)
Aktivno poznavanje engleskog jezika
Vozačka dozvola B kategorije
Poznavanje rada na računalu (MS PowerPoint, MS Excel, MS Word)
Razvijene komunikacijske sposobnosti te prezentacijske vještine
Prednost će imati kandidati s iskustvom u prodaji kozmetike i medicinskih sredstava
Nudimo:
Stimulativna primanja
Rad u dinamičnom okruženju
Prijem u radni odnos na određeno vrijeme (s mogućnošću zapošljavanja na neodređeno)
Prijava mora sadržavati sljedeće:
Životopis (CV) kandidata
Motivacijsko pismo
Napomena: kandidat je obavezan pri zasnivanju radnog odnosa dostaviti scan ili kopiju diplome.
Prijave molimo poslati putem opcije: ""Prijavite se na oglas"" ili poštom na adresu: Colpharm d.o.o., Trnska cesta 16, 88220 Široki Brijeg, najkasnije do 31. 7. 2024. godine.
Lokacija: Sarajevo (baza), Zeničko-dobojski kanton i Hercegovina (3-4 noćenja na terenu mjesečno)","Mjesto rada: Više lokacija
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 22.07.2024. u 12:32
Oglas ističe: 31.07.2024. u 12:32",Stručno-komercijalni suradnik
229,Pravnik - Pripravnik (m/ž),"Zbog povećanog obima poslovnih aktivnosti i rada na domaćim i međunarodnim projektima „INZA“ d.o.o. Sarajevo, ulica Vitomira Lukića 12a, kao dio regionalne poslovne grupe okupljene oko brenda INZA Protecting people, raspisuje:
K O N K U R S za prijem u radni odnos: Pravnik - pripravnik (m/ž)
Pored opših uslova propisanih Zakonom, kandidati moraju ispunjavati i sljedeće posebne uslove:
Uslovi:
Završen Pravni fakultet
Poznavanje engleskog jezika
Poznavanje rada na računaru
Tražene osobine:
Sposobnost brzog usvajanja znanja i ispunjavanja više radnih zadataka istovremeno u zadatim vremenskim rokovima
Organizacione sposobnosti, komunikativnost i analitičnost
Spremnost na timski rad i sposobnost izveštavanja
Glavne odgovornosti pravnika:
Priprema opštih i pravnih akata i pravilnika preduzeća
Pravni savjeti i podrška u sastavljanju dokumenata u svakodnevnom poslovanju ( zapisnici, odluke, ugovori i ostali portebni dokumenti )
Redovno praćenje izmjena, korekcija i dopuna svih relevantnih zakona i propisa, te primjena istih kroz donošenje potrebnih akata
Aktivnosti u okviru radnog prava i regulisanja radnih odnosa ( sastavljanje ugovora o radu, usklađivanje akata, zasnivanje i prestanak radnog odnosa, obavještavanje zaposlenih o pravima i obavezama, radni sporovi..)
Pribavljanje raznih vrste dozvola, uvjerenja i potvrda za potrebe rukovodstva
Kreiranje dopisa, zahtjeva, tužbi, opomena
Nudimo:
Stabilne finansijske i radne uslove
Stimulativni sistem nagrađivanja
Mogućnost napredovanja i usavršavanja
Učešće na regionalnim i međunarodnim projektima
Radni odnos
Dinamičan i raznovrstan posao
Ukoliko smatrate da ispunjavate navedene uslove i zainteresovani ste za rad na navedenoj poziciji, molimo Vas da nam biografiju na maternjem jeziku pošaljete putem opcije ""Prijavite se na oglas"".
Nepotpune i neblagovremene prijave nećemo uzimati u razmatranje.","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 22.07.2024. u 11:10
Oglas ističe: 13.08.2024. u 11:10",Pravnik - Pripravnik
230,Brand Manager (m/ž),"Lider u distribuciji materijala za završne radove u građevinarstvu na cijelom tržištu Bosne i Hercegovine zbog proširenja asortimana i povećanja obima poslovanja traži osobu koja će se pridružiti dinamičnom i kreativnom timu.
Odgovornost i obaveze:
Kreiranje i implementiranje brand strategije, marketinških planova i budžeta, a u skladu sa standardima principala;
Razvoj i jačanje imidža branda;
Pozicioniranje proizvoda i lansiranje novih proizvoda na tržište;
Analiziranje i praćenje realizacije svih prodajnih i promotivnih aktivnosti branda na tržištu, te praćenje tržišnih kretanja konkurentskih brandova;
Koordiniranje izvršenja radnih zadataka te analiza provedbe i učinkovitosti operativnog izvršavanja poslovnih procesa vezanih za Brand za koji je zadužen;
Saradnja sa komercijalnim predstavnicima u određivanju prioriteta i donošenju odluka o raspoređivanju resursa na regiji, a za Brand za koji je zadužen;
Identificiranje izvora rasta, razvijanje cjenovnih politika i distributivnih strategija;
Kreiranje prodajnih i distributivnih planova, te razrađivanje planova po artiklima branda i kategorijama kupaca;
Redovno izvještavanje prema nadređenim
Profil:
SSS, VŠS ili VSS ekonomskog ili tehničkog smjera
3 godine iskustva u prodaji
Poznavanje rada na računaru (MS  Office, Poslovne aplikacije i sistemi)
Poželjno poznavanje tržišta građevinskih materijala
Poznavanje engleskog jezika
Odlične komunikacijske, prodajne i pregovaračke vještine
Odlične analitičke vještine, vještine planiranja i organizacijske vještine
Savjesnost i upornost
Samostalnost i samoinicijativnost
Sklonost ka timskom radu
Vozačka dozvola B kategorije
Spremnost za rad na terenu
Putovanja, umrežavanja, nova znanja i poznanstva su zagarantovana! Svaki dan donosi vidljive rezultate tvog rada i truda, a tvoj rad i trud donosi adekvatnu finansijsku zaradu.
Ako želite postati dio tima koji njeguje iskrene i otvorene osobe, gdje se cijene ljudi i gdje se prelaze granice standardne prodaje pošaljite prijavu putem opcije ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 22.07.2024. u 10:44
Oglas ističe: 22.08.2024. u 10:44",Brand Manager
231,IT tehničar (m/ž),"SCS d.o.o. nudi iskusnu i sveobuhvatnu podršku i pomoć za širok spektar poslovnih potreba. Kao pouzdana partner za Vašu Biro I IT opremu, želimo Vam olakšati svakodnevno kancelarijsko poslovanje. Naš je cilj ponuditi najbolje moguće rješenje za sve Vaše potrebe printanja, kopiranja i skeniranja, koje će optimalno odgovarati zahtjevima Vaše radne sredine I na taj način olaksati rad svih uposlenika Vaše firme.

Uslovi:
Minimalno SSS
Poznavanje osnova IT-a
Vozačka dozvola B kategorije
Poznavanje engleskog jezika
Spremnost za rad, i rad na terenu
Sklonost timskom radu, kreativnost, odgovornost, orijentiranost cilju i poduzetnost u izvršavanju radnih zadataka
Izražene komunikacijske i organizacijske vještine
Samomotivacija i želja za napredovanjem
Radno iskustvo nije obavezno
Budući uposlenik će obavljati sljedeće zadatke:
Dijagnostika kvara
Servis printera, kopir aparata i IT opreme
Izlazak i rad na terenu u slučaju potrebne intervencije
Redovan obilazak kupaca
Podrške korisnicima
Dostava potrošnog materijala kupcima
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"" ili kontaktom na 061 335 072 (Haris).","Mjesto rada: Vogošća
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 22.07.2024. u 10:40
Oglas ističe: 22.08.2024. u 23:59",IT tehničar
232,Telemarketing Operator (m/w/d),"Cyber Rabbit d.o.o. Sarajevo sucht neue Teammitglieder. Für weitere Informationen über das Unternehmen besuchen Sie: https://cyber-rabbit.io/.
Position: 100% Remote-Arbeit
Stellenbeschreibung:
Informieren der Kunden über die Eigenschaften von Produkten oder Dienstleistungen, deren Preise und Beantworten von Kundenanfragen.
Sammeln von Kundeninformationen (Name, Adresse, Zahlungsmethode, etc.) und deren Reaktionen auf das Produkt/die Dienstleistung.
Erfassen von Bestellungen und Erstellen von Bestelllisten.
Entgegennahme von Telefonanrufen potenzieller Kunden.
Terminplanung für Vertriebsmitarbeiter zur Verkaufsförderung oder Präsentation von Produkten/Dienstleistungen.
Durchführung von Marketingforschung durch Kundenumfragen.
Durchführung von Nachfass-Umfragen bei Kunden nach dem Verkauf per Telefon.
Profil:
Vorherige Erfahrung im Telemarketing, mindestens 2 Jahre.
Ausgezeichnete Deutschkenntnisse.
Stabile und schnelle Internetverbindung.
Angebot:
Arbeitsvertrag und Anmeldung.
Arbeiten in einem dynamischen Umfeld.
Bewerbungsschluss: 19. August 2024
Ort: Sarajevo (Homeoffice)
Beschäftigung: Vollzeit
Anzahl der Positionen: 4
Sende uns jetzt deine Bewerbung mit Lebenslauf über die Option ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 4
Moguć rad od kuće (remote): Da
Oglas objavljen: 22.07.2024. u 10:21
Oglas ističe: 22.08.2024. u 23:59",Telemarketing Operator (m/w/d)
233,Trgovac / prodavač (m/ž),"  MBA Centar d.o.o. Sarajevo je preduzeće osnovano 1992. godine. Osnovna djelatnost preduzeća je proizvodnja pekarskih i slastičarskih proizvoda, kao i proizvodnja jufke i pita. 
  MBA Centar se bavi i ugostiteljstvom, a gotova ili à la carte jela nudimo u našim objektima - maloprodaja „Slatko i Slano Velešići“, „Slatko i Slano Dobrinja“, „Slatko i Slano Baščaršija“, „Slatko i Slano Blažuj“ te restoran „Slatko i Slano Socijalno“ i restoran „Slatko i Slano Vogošća“.
  Tražimo: Ozbiljne radnike koji će dati doprinos razvoju poslovanja i osigurati da naša proizvodnja radi neometano.
Nudimo: Stimulativne uslove, mogućnost napredovanja, edukaciju za uposlenike, team building, dobru atmosferu i mnogo posla. 
Prijave putem opcije: ""Prijavite se na oglas""","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 22.07.2024. u 09:26
Oglas ističe: 25.07.2024. u 23:59",Trgovac / prodavač
234,Konobar / Barista (m/ž),"Habitus Caffe zapošljava na poziciji: Konobar / Barista (m/ž) 
  Opis posla:
Pružanje usluge gostima 
Pripremanje napitaka i posluživanje gostiju
Ponuda:
Radno vrijeme 8 sati u prvoj smjeni
Slobodan dan u sedmici
Mogućnost napredovanja i usavršavanja uz posebne pogodnosti koje će biti predstavljene na razgovoru.
Kandidati sa iskustvom na istim ili sličnim poslovima imaju prednost, ali nije ključni faktor.
  Vaše prijave pošaljite putem opcije ""Prijavite se na oglas"" ili putem broja telefona: 062 406 500 (viber/whatsapp).","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 9
Moguć rad od kuće (remote): Ne
Oglas objavljen: 22.07.2024. u 09:16
Oglas ističe: 22.08.2024. u 23:59",Konobar / Barista
235,Direktor društva (m/ž),"Na osnovu Statuta društva CTS d.o.o. Sarajevo, osnivač Društva raspisuje
KONKURS
za prijem u radni odnos
Direktora Društva - 1 izvršilac
Pored općih uslova predviđenih zakonom kandidat treba da ispunjava i sljedeće uslove:
VŠS / VSS
Radno iskustvo minimalno 8 godina
Vozačka dozvola
Pored općih uslova predviđenih zakonom kandidat treba da ispunjava i sljedeće uslove:
Organizuje i rukovodi poslovanje Društva
Zastupa društvo pred trećim licima (uposlenici uprave za indirektno oporezivanje, špediteri, prevoznici i sva druga lica vezano za poslovanje terminala), staranje i odgovaranje za
zakonotosti poslovanja Društva
Predlaganje osnove poslovne politike
Izrada redovnih mjesečnih i kvartalnih izvještaja o radu i poslovanju Društva sa projekcijama poslovnog rezultata do kraja godine, analizu rezultata i odstupanja, te prijedloge mjera za izvršenje godišnjeg plana
Obezbjeđivanje redovnog komuniciranja i izvještavanja Osnivača iz područja svoje nadležnosti i učestvuje u njihovom radu
Uredno i tačno kontrolisanje vođenja svih poslovnih knjiga, te izradu periodičnih obračuna i godišnjeg obračuna i drugih materijalno-finansijskih izvještaja u svemu prema zakonu
Provođenje odluka Skupštine Društva
Odlučivanje o zasnivanju radnog odnosa i prestanak ugovora o radu zaposlenika, odlučivanje o pravima i odgovornostima zaposlenika u skladu sa Zakonom, kolektivnim ugovorom i opštim aktima na način utvrđen Statutom Društva
Izrada i nadgledanje realizacije planova poslovanja
Vršenje i drugih poslova i zadataka koji su mu Zakonom, Statutom i drugim aktima stavljeni u nadležnost
Konkurs ostaje otvoren 30 dana od dana objavljivanja
Prijave sa biografijom i dokazima o ispunjavanju uslova slati na adresu:
CTS d.o.o. Sarajevo
Ul. Braće Baljić 1c
71000 Sarajevo
Putem opcije: ""Prijavite se na oglas"" 
Tel. 033 861 405","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 22.07.2024. u 08:40
Oglas ističe: 21.08.2024. u 23:59",Direktor društva
236,Radnik u skladištu (m),"Tvrtka za uvoz i distribuciju proizvoda poznatih svjetskih brandova, zbog povećanog obima posla i proširenja asortimana, raspisuje natječaj za radno mjesto: Rad u skladištu – 3 izvršitelja
Uvjeti:
Poželjno radno iskustvo na istim/sličnim poslovima
SSS
Organizacijske sposobnosti, komunikativnost i sposobnost za timski rad
Fleksibilnost i pouzdanost
Vaše prijave pošaljite putem opcije ""Prijavite se na oglas"" na broj telefona: 033622012.","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 3
Moguć rad od kuće (remote): Ne
Oglas objavljen: 22.07.2024. u 08:12
Oglas ističe: 21.08.2024. u 08:12",Radnik u skladištu (m)
237,Stručnjak za tržišni marketing (m/ž),,"Mjesto rada: Kiseljak
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 19.07.2024. u 15:07
Oglas ističe: 19.08.2024. u 23:59",Stručnjak za tržišni marketing
238,Fizioterapeut (m/ž),"Pro-Fit Health. Strength and Conditioning doo raspisuje
Konkurs za popunu radnog mjesta na poziciji
Fizioterapeut – 1 izvršilac
Uslovi:
Završen Fakultet zdravstvenih studija
Licenca za samostalan rad
Kandidati uz prijavu treba da prilože slijedeću dokumentaciju:
Biografiju 
Motivaciono pismo
Prijave sa potrebnom dokumentacijom, kojom se dokazuje ispunjavanje uslova poslati  putem opcije ""Prijavite se na oglas"".
Konkurs ostaje otvoren do 11.08.2024. godine.","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 19.07.2024. u 12:51
Oglas ističe: 11.08.2024. u 23:59",Fizioterapeut
239,Trgovac (m/ž),"GEMEX DOO Sarajevo zapošljava radnike na poziciji: Trgovac(m/ž) - više 
Mjesto rada: Zenica, Sarajevo
Opis posla:
Rad na kasi u viokofrekventnom marketu
Prijem robe
Izlaganje robe na police u marketu
Vođenje računa o rokovima robe
Svakodnevna komunikacija sa kupcima
Održavanje higijene radnog prostora
Obračun pazara
Potrebna znanja i vještine:
SSS trgovački ili ekonomski smjer
Ažurnost,sistematičnost i odgovornost
Spremnost na timski rad i saradnju te efikasnost u radu
Komunikativnost i prilagodljivost
Urednost i dobre prezentacione sposobnosti
Poznavanje rada na kasi
Poznavanje rada na računaru
Poželjno radno iskustvo
Potreban poseban senzibilitet i izražena socijalna zrelost u radnom okruženju sa osobama sa invaliditetom
Potrebna dokumentacija:
Biografija sa slikom
Fotokopija diplome o stečenom zvanju
Ljekarsko uvjerenje ( naknadno dostavljaju kandidati koji budi odabrani za radno mjesto)
Mjesečna primanja po dogovoru.
Vaše prijave pošaljite putem opcije ""Prijavite se na oglas"".","Mjesto rada: Više lokacija
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 19.07.2024. u 12:45
Oglas ističe: 19.08.2024. u 23:59",Trgovac
240,Zaštitar (m/ž),"Agencija za zaštitu ljudi i imovine Sword Security d.o.o. Sarajevo zapošljava na poziciji: Zaštitar (m/ž)
Opis posla:
Rad na poslovima fizičke zaštite ljudi i imovine u skladu sa Zakonom o agencijama za zaštitu ljudi i imovine 
Uslovi:
SSS
Položen Certifikat za fizičku zaštitu
Poželjno radno iskustvo u struci
Komunikativnost, ljubaznost, odgovornost i sposobnost za timski rad
  Šta nudimo?
Radni odnos u uspješnoj kompaniji
Podsticajno okruženje i prijatnu radnu atmosferu
Svoje biografije pošaljite putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 10
Moguć rad od kuće (remote): Ne
Oglas objavljen: 19.07.2024. u 09:10
Oglas ističe: 19.08.2024. u 09:10",Zaštitar
241,Kreditni službenik u uredu Banja Luka (m/ž),"Potrebno je dostaviti popunjen obrazac prijave i/ili kraću biografiju na jedan od slijedećih načina:
Putem opcije ""Prijavite se na oglas""
Putem opcije ""Prijava kod poslodavca""
Putem pošte na adresu: MKF MI-BOSPO Tuzla, ul. Bosne srebrene bb, 75000 Tuzla.
Cijenit ćemo ako dostavite motivaciono pismo. Za više informacija pozovite nas na broj telefona 035/275-333.","Mjesto rada: Banja Luka
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 19.07.2024. u 09:02
Oglas ističe: 09.08.2024. u 23:59",Kreditni službenik u uredu Banja Luka
242,Automehaničar (m),"Zbog proširenja poslovanja Autoprojekt d.o.o. objavljuje oglas za prijem na poziciju automehaničara - dvije osobe.
Uslovi:
Završene SSS automehaničara
Radno iskustvo minimalno 2 godine
Visoki stepen odgovornosti
Samostalnost u obavljanju radnih zadataka
Održavanje urednost radnog prostora
Vaše prijave pošaljite putem opcije ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Plata od: 1500 KM (netto)
Oglas objavljen: 19.07.2024. u 08:32
Oglas ističe: 19.08.2024. u 08:32",Automehaničar (m)
243,Administrator MBE STORE (m/ž),"Administrativno upravljanje ugovorenim odnosima sa klijentima MBE.
Priprema pošiljki: adresiranje, labeliranje, pakovanje i organizacija slanja.
Redovna komunikacija sa logističkim servisima kako bi se osigurala pravovremena i tačna isporuka pošiljki.
Vođenje dnevne blagajne MBE store i pridržavanje standarda finansijskog poslovanja.
Izvršavanje poslova redovnog fakturisanja i praćenje naplate usluga.
Obrada i dostava administrativne dokumentacije u skladu sa internim i eksternim zahtjevima.
Pružanje dodatnih usluga i podrške klijentima prema njihovim specifičnim potrebama.
Vaše prijave pošaljite putem opcije ""Prijava kod poslodavca"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 18.07.2024. u 15:52
Oglas ističe: 18.08.2024. u 23:59",Administrator MBE STORE
