,titles,offers,closest_green_isco,NACE,location
1460,Quality Controller (m/f),"Quality Controller (m/f)
MECHANICAL TECHNICIAN / NO ENGINEER PROFILE
Company: Kadic Tech d.o.o.
Location: Banja Luka/Doboj/Prnjavor, Bosnia-Herzegovina.
Salary: Market competitive, with incentives for ad hoc works abroad
About Kadic
At Kadic we supply tooling equipment for the leaders of the car seat industry. We develop and manufacture mechanical tools for the production and shipping of car seats. We are a growing SME based in Belgium and Bosnia-Herzegovina and supply tooling equipment all over Europe, USA and Latin America. In collaboration with our customers, we design and develop prototypes and after approval, we produce serial lots and assist our customers up until the start of production.
Job Description
As a Mechanical Technician at Kadic (no engineer), you are going to Kadic’s main partners and suppliers to inspect the quality of the mechanical equipment that is produced. Possessing good knowledge of Kadic’s products after a 3 to 6 months on-the-job training, you assist the assembly, advise and give production and assembly directions to the supplier to achieve Kadic’s quality excellence. You use 2D & 3D drawings to guide the supplier and consult the Kadic Project Engineer if major technical question marks arise. You visit Kadic’s customers all over Europe to make adhoc interventions on Kadic’s delivered equipment in order to implement modifications or to resolve production line issues.
Responsibilities 
Instructing and assisting partners & suppliers how to finish Kadic products
Controlling quality of manufactured parts at Kadic partners & suppliers
Prototype testing before shipment to customer
Reporting technical matters and project statuses to the concerned Kadic Project Engineer.
You conduct ad hoc implementation projects at customer plants and liaise with the Kadic Project Engineer during the intervention
Profile / Experience 
WE ARE NOT LOOKING FOR AN ENGINEER BUT FOR A MECHANICAL WORKER.
Mechanical worker with at least 3+ years of experience, preferably experienced in assembly of fine mechanics. Experience in turning, milling and welding are assets but not a prerequisite.
Fluent in technical English. French is an asset but not a prerequisite.
You are a clever decision-maker, highly motivated and handy
Problem-solving, creativity, lateral thinking and being resourceful define you on the work floor.
Able to cope with a steep learning curve.
Prior experience in Project Management is appreciated.
Driven by concrete results, you are resilient and willing to work in a growing SME 
Lokacija: Prnjavor (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 08.04.2024.
Trajanje oglasa: 30 dana (ističe 08.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",2519,C, Prnjavor
1461,Senior Associate - Financial Due Diligence,"Senior Associate - Financial Due Diligence
Position Senior Associate - Financial Due Diligence
Work arrangement Full-time
City Sarajevo
Country Bosnia-Herzegovina
Department Financial Advisory
Team Transaction Services
Area of interest Finance
Way of work Office-based

Description & Requirements
Who we are looking for
Our team is looking for a Senior Associate for transaction-related services.

Ideal candidate’s qualifications 
Master’s Degree in Accounting, Finance, Economics or related field from a reputable university
2+ years of work experience in audit or corporate finance or transaction related services
CPA, ACCA certification will be considered as an advantage. CFA or business appraisal training will be considered as an asset
Strong commitment to professional and client service excellence
Enjoys problem-solving through numbers and analysis and building relationships with the team and clients
Advanced verbal and written communication skills
Skilled in MS Excel and Power Point
Fluent English language skills 
Your future role
As a Senior Associate you will research and work with M&A teams on a broad spectrum of technical accounting matters including complex issues in accounting for business combinations, consolidations, share-based compensation, revenue recognition, leases, intangibles and financial instruments.

You will: 
Demonstrate an ability to identify and evaluate business, industry, financial, accounting to tax risk related transactions
Identify potential “deal breakers”, industry, country, and deal-specific risks and opportunities
Evaluate targets historical and projected earnings and cash flows; hidden contingencies, commitments, and tax exposures; as well as quality of assets and internal control structure
Review and comment on financial, accounting, and tax considerations in investment models, bank finance agreements and public debt offering documents
Assist in structuring purchase price adjustment mechanisms and other relevant projections in stock purchase agreements
Identify integration and post-transaction transition issues
Assist with divestiture strategy, planning, and execution
What we offer
On this specific job, we will offer you following development opportunities:
Unlimited access to LinkedIn learning and Udemy courses
Unlimited access to Deloitte learning portal with 100,000+ courses
Long-term career opportunities, both locally and internationally
Benefits

At Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits, such as:
Supplementary health insurance
International travel insurance for private and business travel
Employee assistance program, available to you and your immediate family members 24 hours a day, 7 days a week, 365 days a year, covering legal, financial and mental health advices
Extensive experience gained from working across multiple Deloitte CE South Offices (Belgrade, Banja Luka, Sarajevo, Zagreb, Ljubljana, Montenegro, Skopje, Tirana, Pristina and Sofia).
Advancement within the company
Selection process
You will have few steps before making life changing decision:

Application
Test
Interview HR + Manager
Start date: May/June 2024

About Deloitte
Deloitte provides audit, consulting, tax, legal and financial advisory services to public and private clients spanning multiple industries. In 150 countries Deloitte brings world-class capabilities and deep local expertise to help clients succeed wherever they operate.

More than 380,000 Deloitte's professionals are dedicated to strengthening corporate responsibility, diversity, building public trust, and making a positive impact in their communities.

Deloitte in Central Europe spans 18 countries and operates as one cohesive entity with almost 7,000 people. Our integration allows us to coordinate regionally and deliver locally, adding value to our services and allowing them to be performed in the most efficient manner. We have experience in providing cross-business and cross-industry services to different types of clients including major local and international companies.

About the team
The Transaction Services team is a collaborative group that creates value for clients undergoing a merger, acquisition or divestiture. Our team is growing. It supports our clients in all stages of the M&A lifecycle through our One-Deloitte approach. We are a group of collaborative, autonomous and amazing people who value client service excellence while having FUN and supporting the career growth of one another. 
Lokacija: Sarajevo (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 03.04.2024.
Trajanje oglasa: 30 dana (ističe 03.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",2413,M, Sarajevo
1462,Associate - Financial Due Diligence,"Associate - Financial Due Diligence
General Information
Position Associate - Financial Due Diligence
Work arrangement Full-time
City Sarajevo
Country Bosnia-Herzegovina
Department Financial Advisory
Team Financial Services Industry
Area of interest Finance
Way of work Office-based 

Description & Requirements
Who we are looking for 

Our Financial Advisory team is looking for an Associate for transaction-related services.

Ideal candidate’s qualifications 
Bachelors’ Degree in Accounting, Finance, Economics or related field from a reputable university
Up to 2 years of work experience in accounting/finance/controlling is a benefit
Strong commitment to professional and client service excellence
Enjoys problem-solving through numbers and analysis and building relationships with the team and clients
Strong accounting background
Superior verbal and written communication skills
Superior skills in MS Excel and Power Point
Fluent English language skills 
Your future role
As an Associate you will research and work with teams on a broad spectrum of transaction support services.

You will work on the following:

Assessment and analysis of detailed financial statement information consisting of balance sheet, income statement, cash flow, business plans and other operational documents and data,
Integration of data which may have an impact on the final valuation and negotiation processes i.e. identification of financial and operating trends including: normalized EBITDA, normalized working capital, normalized revenue, net debt, potential liabilities and risks,
Preparing deal-oriented presentations and analysis that highlight specific key issues based on previously made assessments and analysis,
Preparation of request lists as well as participation in meetings, Q&A processes and teleconferences,
Gathering and translating results of conducted analysis into essential information that clients incorporate into their deal strategies and agreements.

What we offer

At Deloitte, our professional development focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there’s always room to learn. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.

On this specific job, we will offer you following development opportunities: 
Unlimited access to LinkedIn learning and Udemy courses
Unlimited access to Deloitte learning portal with 100,000+ courses
Long-term career opportunities, both locally and internationally
ealth insurance (mixed package)
Working across multiple geographies and clients
Recruitment Incentive Program - Stars
Competitive salary
Networking
Wellbeing initiatives 
Selection process
You will have few steps before making life changing decision:

Application
Test
Interview HR + Hiring Managers
Start date: May/June 2024

About Deloitte

Deloitte provides audit, consulting, tax, legal and financial advisory services to public and private clients spanning multiple industries. In 150 countries Deloitte brings world-class capabilities and deep local expertise to help clients succeed wherever they operate.

More than 380,000 Deloitte's professionals are dedicated to strengthening corporate responsibility, diversity, building public trust, and making a positive impact in their communities.

Deloitte in Central Europe spans 18 countries and operates as one cohesive entity with almost 7,000 people. Our integration allows us to coordinate regionally and deliver locally, adding value to our services and allowing them to be performed in the most efficient manner. We have experience in providing cross-business and cross-industry services to different types of clients including major local and international companies.

About the team
Our Financial Advisory team is a collaborative group that creates value for clients undergoing a merger, acquisition or divestiture. It supports our clients in all stages of the M&A lifecycle through our One-Deloitte approach. Our team is growing and you will have opportunity to work across multiple Deloitte CE South Offices (Belgrade, Banja Luka, Sarajevo, Zagreb, Ljubljana, Montenegro, Skopje, Tirana, Pristina and Sofia).

We are a group of collaborative, autonomous and amazing people who value client service excellence while having fun and supporting the career growth of one another. 
Lokacija: Sarajevo (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 03.04.2024.
Trajanje oglasa: 30 dana (ističe 03.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",2413,M, Sarajevo
1463,International Leadership Trainee (m/ž),"International Leadership Trainee (m/ž)
 Join our top-notch trainee program that will fast-track your international career. 
The International Leadership Trainee Program is for high calibre talents at the beginning of their professional journey. This program is built to fast-track your international career and prepare you to become a leader of tomorrow. The program starts in October 2024.

IS THIS WHAT YOU ALWAYS WANTED? 

International on-the-job experience
You will discover our fast-paced business through a series of job assignments, including international rotations. You will develop your strategic view through joining cross-country projects, into diverse teams. You will handle cross-functional projects.

Accelerated development towards leadership roles
You will get hands-on experience in the market from the very beginning - from understanding our Field Sales to learning how to create a partnership with our customers. You will learn a lot about finance, e-commerce, data analytics, and digital. You learn by doing and through formal training.

Senior Leaders support on your way
You will meet amazing people, peers, and colleagues, who will always be there for you. During the whole journey, you can count on support from our Senior Leaders, who will mentor you and sponsor your career. You will be assigned a buddy from local operations, but also feel part of the International Leadership Trainee community. You will benefit from working with a career coach.

Learn and develop your capabilities
This is a tailor-made learning journey to cover your key developmental needs. It is delivered by a world class business school, combined with Coca-Cola HBC functional academies.
Bring your own magic
Bring your own magic - talent, personality and curiosity – to influence and make an impact in a fast-paced, diverse environment. After successful completion of the program, you will be on the path to becoming a successful commercial leader, with operational and strategic expertise.

ARE YOU THE ONE? 
We are interested in seeing your leadership potential, so share with us your experience leading others: on the job, in student associations, NGOs, sports teams, start-ups or any other field.

See if this fits you: 
You want to gain commercial experience in a high performing driven environment (e.g. sales, digital commerce, commercial finance)
You are determined, curious and self-driven
You enjoy assignments that provide variety, intensive collaboration and challenge
You are open to different people and perspectives
You are ambitious to lead change, projects and people
You are open to relocate to another country to accelerate your career
You have 1-3 years of work experience in any business-related area
You have a university degree or you are in your last year at university and able to commit full-time (40 hours/ week)
You are fluent in English
You are legally eligible to work in the country for which you apply
WHO IS COCA-COLA HBC? 
We are Coca-Cola HBC, one of the world’s largest strategic bottling partners of The Coca-Cola Company, operating in 29 countries across 3 continents. We partner with other selected beverage businesses, expanding our portfolio continuously. Our team of 33000+ people come from 5 continents and represents 73 nationalities.
Through our diverse portfolio, we are part of the everyday lives of over 700 million consumers, as we inspire them to be open to new refreshing experiences, every hour of the day, 24/7.
Our success comes from us working together as one, creating value for our customers and making a positive difference in the local communities we serve.

THIS IS AN OPPORTUNITY YOU DON'T WANT TO MISS
The recruitment process is a learning journey in itself. On each step of the recruitment journey, you will unlock valuable learning moments - exclusive webinars, learning materials, get personalized feedback, and even coaching, later in the process. 
Lokacija: Sarajevo (Hibridni rad)
Broj izvršilaca: 1
Datum objave: 03.04.2024.
Trajanje oglasa: 30 dana (ističe 03.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",1213,N, Sarajevo
1464,START Trainee (m/f),"START Trainee (m/f)
Lokacija: Sarajevo (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 03.04.2024.
Trajanje oglasa: 30 dana (ističe 03.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",2133,M, Sarajevo
1465,Rukovodilac sektora sistemske administracije (m/ž),"Rukovodilac sektora sistemske administracije (m/ž)
Lokacija: Banja Luka (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 03.04.2024.
Trajanje oglasa: 30 dana (ističe 03.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",3514,M, Banja Luka
1466,Voditelj odjeljenja hrane i pića (F&B Manager)- (m/ž),"Voditelj odjeljenja hrane i pića (F&B Manager)- (m/ž)
Budite u prirodi i u dobrom društvu! Postanite članovi tima hotela Nomad! Učinimo Bjelašnicu poželjnom destinacijom za odmor i rekreaciju tokom cijele godine!

O POZICIJI: 

Naziv pozicije: Voditelj odjeljenja hrane i pića (F&B Manager)  ž/m

Lokacija: Bjelašnica, Babin do

Svrha posla: Pravovremena koordinacija nabavnih i uslužnih aktivnosti sektora, te upravljanje timom zaposlenika sektora. Ostvarenja visokog kvaliteta usluge i pozitivnog iskustva klijenata.

Osnovni zadaci:
Upravlja radom odjela hrane i pića 
Odgovara za usklađenost rada odjela sa sigurnosnim, zdravstvenim i higijenskim propisima, te  HACCP standardima
Odgovara za poslovne rezultate restorana i bara, te kvalitetu usluge 
Odgovara za troškove odjela hrane i pića
Planira raspored rada i radnog vremena radnika odjela 
Vodi proces zapošljavanja, odabira, usmjeravanja i osposobljavanje novih zaposlenika u sektoru
Razvija stručne kompetencije zaposlenih i predlaže sistem obuke
Koordinira i nadzire rad radnika odjela, te vrši nadzor radnog vremena
Potpuno je upoznat sa svim procedurama sektora i odgovoran je za provođenje istih
Obavlja i ostale zadatke po nalogu nadležnog rukovodioca   
Kvalifikacije i uslovi
KV/VKV/SSS
Minimalno 3 godine radnog iskustva u HORECA sektoru u segmentu hrane i pića, od čega 1 godina na rukovodećim pozicijama
Poznavanje i primjena HACCP standarda
Aktivno znanje engleskog jezika
Aktivno poznavanje rada na računaru
Položen vozački ispit „B“ kategorije i aktivno vozačko iskustvo
Lične kompetencije: interpersonalne vještine, motivacija saradnika, komunikacijske vještine, pregovaračke vještine, fleksibilnost, orijentiranost prema klijentu, vještine planiranja, organiziranja i upravljanja timom, analitičko promišljanje, dobro snalaženje.

OD VAS SE OČEKUJE:
Odgovoran pristup poslu i posvećenost realizaciji radnih zadataka
Održavanje dobrih kolegijalnih odnosa - spremnost na saradnju, pomoć, podršku i timski rad
Profesionalnost i uslužnost u komunikacija sa klijentima
NUDIMO:
Redovna i konkurentna finansijska primanja
Edukacija, profesionalno usavršavanje i napredovanje
Ugodno i poticajno radno okruženje
Organizovan prevoz do i od mjesta rada
NAČIN PRIJAVE: 

CV (biografiju) poslati putem opcije Prijavi se na oglas

Oglas ostaje otvoren 30 dana.

Pažljivo ćemo razmotriti vašu biografiju i kontaktirat ćemo vas ukoliko procijenimo da svojim profilom odgovarate potrebama Welness & Spa Hotel Nomad.  

I JOŠ NEŠTO O NAMA:

Naša vizija je inspirisati ljude da provode vrijeme u zdravom okruženju. Želimo biti mjesto ugodnih druženja, poslovnih susreta i svečanih dešavanja. Udoban smještaj u u atraktivnom ambijentu, direktni izlaz na ski stazu, wellness&spa, gastro pub, restoran i konferencijski prostor su samo neke od pogodnosti koje nudi hotel Nomad.
   Lokacija: Sarajevo / Bjelašnica (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 03.04.2024.
Trajanje oglasa: 30 dana (ističe 03.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",1321,I, Sarajevo
1467,"Pravnik - pripravnik, volonter","Pravnik - pripravnik, volonter
Provjerite zasto je naš slogan MI SMO EKIPA!
Zbog povećanog obima posla, kompanija Sport Vision raspisuje konkurs za prijem u radni odnos za sljedeće radno mjesto:

PRAVNIK (VOLONTER/PRIPRAVNIK)  (M/Ž) – 1 izvršilac
mjesto rada: Bijeljina

USLOVI ZA PRIJAVU: 
VSS – diplomirani pravnik
dobro poznavanje rada na računaru (Microsoft Office aplikacije)
položen vozački ispit B kategorije; aktivan vozač
poželjno dobro poznavanje engleskog jezika  
NUDIMO VAM: 
mogućnost rada u velikoj kompaniji 
obučavanje i uvođenje u proces rada, obavljanje svih pravnih poslova u cilju osposobljavanja za samostalni rad u okviru struke
rad u ugodnoj atmosferi,
zanimljiv i izazovan posao, 
mogućnost usavršavanja i napredovanja u dinamičnom okruženju.
ŠTA OČEKUJEMO: 
Posvećenost poslu
Kooperativnost i spremnost na timski rad
Odlične komunikacijske vještine
Visok stepen odgovornosti i savjesnosti u izvršenju radnih zadataka
Želju za učenjem i daljim usavršavanjem
Prijave sa  detaljnijom biografijom slati putem opcije ""PRIJAVI SE NA OGLAS"" 
Konkurs je otvoren do 30.4.2024. godine. Nepotpune i neblagovremeno poslane prijave se neće razmatrati. 
Lokacija: Bijeljina (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 03.04.2024.
Trajanje oglasa: 27 dana (ističe 30.04.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",2133,M, Bijeljina
1468,Senior Controller,"Senior Controller
Za potrebe pružanja usluga controlling-a i revizije usluga za članice grupacija koje posluju u i izvan BiH, ASA grupacija raspisuje konkurs za radnu poziciju: 

SENIOR CONTROLLER

više izvršilaca

Ključne odgovornosti:
Kontrola ispravnosti iskazanih finansijskih izvještaja;
Kontrola poštivanja svih važećih internih pravilnika i procedura;
Pračenje korekcija poslovnih procesa, uz strogo poštovanje zakonske regulative i internih procedura;
Prati i analizira zakonske i druge propise iz oblasti poslovanja;
Analizira  zapisnike kontrolnih poreznih i drugih državnih organa i daje preporuke;
Aanalizira izvještaja vanjskog revizora i daje preporuke;
Vrši procjenu usklađenosti aktivnosti sa usvojenim planovima i ciljevima;
Finansijska analiza i izvještavanje menadžmenta domaćih i ino kompanija;
Izrada redovnih mjesečnih i drugih izvještaja za menadžment ( Bilans stanja, Bilans uspjeha, Cash Flow, po potrebi izrada drugih izvještaja);
Budžetiranje i Forecasting;
Analiza i praćenje troškova;
Analiza odstupanja, davanja prijedloga poboljšanja i korektivnih akcija;
Analiza i unapređenje internih propisa kompanija;
Učestvuje u stručnim seminarima, kao i drugim sličnim oblicima edukacije i usavršavanja;
Saradnja sa komitentima i drugim odjelima.
Sposobnost strateškog kreiranja kratkoročnih i dugoročnih poslovnih planova, prosuđivanja rizika i upravljanja istim;
Analitičnost i ažurnost, organiziranost;
Uslovi koje kandidat treba da ispunjava:
Univerzitetsko obrazovanje ekonomskog usmjerenja (četverogodišnji ili master studij);
Najmanje 3 godine radnog iskustva na poslovima Controllinga;
Certifikat /Licenca  racunovodje;
Poznavanje alata finansijskog izvještavanja, računovodstva i finansijske analize;
Dobre analitičke, izvještajne, komunikacijske i prezentacijske vještine;
Razvijene organizacijske vještine i vještine upravljanja vremenom;
Poznavanje Business Intelligence alata;
Napredno poznavanje MS Office paketa sa naglaskom na MS Excel i MS Access;
Aktivno poznavanje njemačkog ili engleskog jezika  (u govoru i pismu);
Poznavanje drugih stranih jezika će se smatrati dodatnom prednošću.
Nudimo Vam:  
Odgovarajuće benefite;
Rad u ugodnom radnom okruženju; 
Mogućnost kontinuiranog učenja i profesionalnog usavršavanja;
Mogućnost individualnog razvoja karijere;
Posebne vještine:
Organizacijske sposobnosti;
Preciznost / tačnost; 
Razumijevanje brojeva;
Obrada informacija.
Ukoliko posjedujete tražene vještine i iskustva vaše prijave, uz priloženu biografiju, možete slatiputem opcije “Prijavi se na oglas” ili putem pošte na adresu:   

ASA GROUP 
Sektor za ljudske resurse
Bulevar Meše Selimovića 16
71000 Sarajevo

Konkurs je otvoren do 30.04.2024. godine. 
Samo kandidati koji uđu u uži izbor biće kontaktirani.
Lokacija: Sarajevo (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 03.04.2024.
Trajanje oglasa: 27 dana (ističe 30.04.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",3341,M, Sarajevo
1469,Pomoćni kuhar,"Pomoćni kuhar
Hotel ”Posejdon” Neum smješten uz obalu mora, u mirnom dijelu Neuma (Surdup), počeo je sa radom davne 2005. godine i svojim kapacitetom nudi 24 sobe/apartmana za odmor i restoran za sve posjetitelje ovoga mjesta. Nakon skoro dvije decenije tradicije i iskustva „Posejdon“ kao hotel i restoran je za svoje goste svih generacija i dalje omiljeno mjesto za odmor i druženje, mjesto svih koji žele da uživaju u otmenom, prijatnom i mirnom ambijentu. 

Shodno našim potrebama raspisujemo natječaj za radnu poziciju:

Pomoćni kuhar – više izvršitelja 
 Uvjeti: 
SSS, bilo kojeg smjera, sa ili bez radnog iskustva
spremnost na rad u timu
spremnost na učenje i uključenost u posao
sposobnost na stalnom održavanju čistog radnog prostora
odgovoran pristup poslu i posvećenost realizaciji radnih zadataka
Nudimo: 
Redovna i konkurentna finansijska primanja, početna plaća u iznosu od 2.000 KM
ugovor o radu na određeno vrijeme (sezonski poslovi), s mogućnošću zasnivanja radnog odnosa na neodređeno vrijeme
osiguran smještaj i hrana, za primljene kandidate koji su s prebivalištem izvan Općine Neum
Prijave slati putem opcije ""PRIJAVI SE NA OGLAS"", a za više informacija kontaktirati na broj: 036/885-112 ili mob 063/481-561.

Lokacija: Neum (Rad iz firme)
Broj izvršilaca: 5
Datum objave: 05.04.2024.
Trajanje oglasa: 30 dana (ističe 05.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",7115,I, Neum
1470,Pomoćni kuhar (m/ž),"Pomoćni kuhar (m/ž)
Pomoćni kuhar (m/ž)

Potrebni uslovi:

Uslovi koje kandidati treba da ispunjavaju su: 
timski rad, 
minimalno SSS, 
komunikativnost, 
poželjno radno iskustvo minimalno 1 godina.
Sve aplikacije mogu se preuzeti i popuniti na recepciji Hotela ""Dubrovnik"" u Zenici ili ili poslati putem opcije ""PRIJAVI SE NA OGLAS"".
Lokacija: Zenica (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 19.04.2024.
Trajanje oglasa: 30 dana (ističe 19.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",7115,I, Zenica
1471,Pomoćni kuhar,"Pomoćni kuhar
Restoran Vancouver upošljava

Pozicija: 

Pomoćni kuhar ž/m (iskustvo/bez) 

Prijavi se: 062 565 555 
Lokacija: Vogošća (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 22.04.2024.
Trajanje oglasa: 30 dana (ističe 22.05.2024.)
Isprintaj oglas
Share",7115,I, Vogošća
1472,Pomoćni kuhar (m/ž),"Pomoćni kuhar (m/ž)
Sve informacije na kontakt telefon: 061/074-021.
Lokacija: Sarajevo, Rajlovac (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 12.04.2024.
Trajanje oglasa: 30 dana (ističe 12.05.2024.)
Isprintaj oglas
Share",7115,I, Sarajevo
1473,Pomoćni kuhar,"Pomoćni kuhar
Pomoćni kuhar 

Sve informacije na broj telefona 062 330 320
Lokacija: Sarajevo (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 11.04.2024.
Trajanje oglasa: 30 dana (ističe 11.05.2024.)
Isprintaj oglas
Share",7115,I, Sarajevo
1474,Pomoćni kuhar,"Pomoćni kuhar
Restoran Sax Pofalići potražuje izvršioce na poziciji:

Pomoćni kuhar-1 izvršioc

Sve informacije na broj 066 316 399
Lokacija: Sarajevo (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 05.04.2024.
Trajanje oglasa: 30 dana (ističe 05.05.2024.)
Isprintaj oglas
Share",7115,I, Sarajevo
1475,Pomoćni kuhar (m/ž),"Pomoćni kuhar (m/ž)
Restoran Konoba Podrum, Mostar raspisuje oglas za poziciju Pomoćni kuhar (m/ž). Opis posla: rad na roštilju. Uslovi: SSS. Za više informacija i prijavu pozovite broj: 061/175-792
Lokacija: Mostar (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 19.04.2024.
Trajanje oglasa: 30 dana (ističe 19.05.2024.)
Isprintaj oglas
Share",7115,I, Mostar
1476,Pomoćni kuhar (m/ž),"Pomoćni kuhar (m/ž)
Desetka, novi moderan restoran na Rudešu, treba radnike sa odličnim uvjetima. Traže se pomoćni kuhari.
Izvor: www.moj-posao.net
Lokacija: Zagreb (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 26.04.2024.
Trajanje oglasa: 9 dana (ističe 06.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",7115,I, Zagreb
1477,Pomoćni kuhar (m/ž),"Pomoćni kuhar (m/ž)
- pomoć u pripremi hrane - održavanje radnog prostora prema HACCP standardima - pranje suđa
Izvor: www.moj-posao.net
Lokacija: Dugopolje (Split) (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 26.04.2024.
Trajanje oglasa: 9 dana (ističe 06.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",7115,I, Split
1478,Pomoćni kuhar (m/ž),"Pomoćni kuhar (m/ž)
- priprema namirnica za jela - priprema priloga, salata - pranje posuđa - održavanje kuhinjske opreme i čistoće - ostali jednostavni poslovi u kuhinji
Izvor: www.moj-posao.net
Lokacija: Jakišnica (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 26.04.2024.
Trajanje oglasa: 12 dana (ističe 09.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",7115,I, Jakišnica
1479,Pomoćni kuhar (m/ž),"Pomoćni kuhar (m/ž)
- dovršavanje i priprema jela baziranih na biljnim namirnicama
Izvor: www.moj-posao.net
Lokacija: Split (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 26.04.2024.
Trajanje oglasa: 9 dana (ističe 06.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",7115,I, Split
1480,Pomoćni kuhar (m/ž),"Pomoćni kuhar (m/ž)
Traži se: Pomoćni kuhar (m/ž). Mjesto rada: novootvoreni restoran Uvertira na otoku Rabu. Početak rada: 1.6.
Izvor: www.moj-posao.net
Lokacija: Rab (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 25.04.2024.
Trajanje oglasa: 19 dana (ističe 15.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",7115,I, Rab
1481,Pomoćni kuhar (m/ž),"Pomoćni kuhar (m/ž)
Svoj radni dan započinješ u kuhinji provjeravajući svježinu, količinu i rokove namirnica s kojima danas radiš. Radiš pripremu jela ovisno o uputama Šefa kuhinje. Sjeckaš salate, pripremaš priloge te dovršavaš jednostavnija jela Foodie kuhinje. Prije, tijekom i pri završetku radnih zadataka održavaš čistoću i urednost kuhinje.
Izvor: www.moj-posao.net
Lokacija: Zadar, Pula (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 25.04.2024.
Trajanje oglasa: 19 dana (ističe 15.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",7115,I, Zadar
1482,Pomoćni kuhar (m/ž),"Pomoćni kuhar (m/ž)
Stari Kotač - ugostiteljski objekt sa 40 godina dugom tradicijom radi povećanja obujma posla traži: Pomoćnog kuhara (m/ž). Ključni zadatci: - pomoć u pripremanju jela - briga o čistoći radnog prostora
Izvor: www.moj-posao.net
Lokacija: Zagreb (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 25.04.2024.
Trajanje oglasa: 9 dana (ističe 05.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",7115,I, Zagreb
1483,Pomoćni kuhar (m/ž),"Pomoćni kuhar (m/ž)
Conca d'oro zapošljava na radnom mjestu: Pomoćni kuhar (m/ž) - više izvršitelja.
Izvor: www.moj-posao.net
Lokacija: Rijeka, Opatija (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 25.04.2024.
Trajanje oglasa: 19 dana (ističe 15.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",7115,I, Rijeka
1484,Pomoćni kuhar (m/ž),"Pomoćni kuhar (m/ž)
- pomoćni kuhar u hotelskom restoranu
Izvor: www.moj-posao.net
Lokacija: Dubrovnik (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 25.04.2024.
Trajanje oglasa: 28 dana (ističe 24.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",7115,I, Dubrovnik
1485,Pomoćni kuhar (m/ž),"Pomoćni kuhar (m/ž)
Tražimo komunikativnu i osobu spremnu za rad u timu za radno mjesto pomoćni kuhar (m/ž).
Izvor: www.moj-posao.net
Lokacija: Mala Subotica (Rad iz firme)
Broj izvršilaca: 1
Datum objave: 24.04.2024.
Trajanje oglasa: 27 dana (ističe 22.05.2024.)
Prijavi se na oglas
Isprintaj oglas
Share",7115,I, Mala Subotica
